time(ms)				Time (s)	Speed (mm/s)Throttle(x50)		50
102	0	50	167	0.102	0	2500	
202	0	50	167	0.202	0	2500	
302	0	50	167	0.302	0	2500	
402	0	50	167	0.402	0	2500	
502	0	50	167	0.502	0	2500	
602	0	50	167	0.602	0	2500	
702	0	50	167	0.702	0	2500	
802	0	50	167	0.802	0	2500	
902	0	50	167	0.902	0	2500	
1002	0	50	167	1.002	0	2500	
1102	0	52	167	1.102	0	2600	
1202	0	54	167	1.202	0	2700	
1302	0	56	167	1.302	0	2800	
1402	0	58	167	1.402	0	2900	
1502	0	61	167	1.502	0	3050	
1602	0	63	167	1.602	0	3150	
1702	0	65	167	1.702	0	3250	
1802	0	67	167	1.802	0	3350	
1902	0	69	167	1.902	0	3450	
2002	0	72	167	2.002	0	3600	
2102	0	74	167	2.102	0	3700	
2202	0	76	167	2.202	0	3800	
2302	0	78	167	2.302	0	3900	
2402	0	80	167	2.402	0	4000	
2502	0	83	167	2.502	0	4150	
2603	0	85	167	2.603	0	4250	
2703	0	87	167	2.703	0	4350	
2803	0	89	167	2.803	0	4450	
2903	0	91	167	2.903	0	4550	
3003	0	94	167	3.003	0	4700	
3103	0	96	167	3.103	0	4800	
3203	0	98	167	3.203	0	4900	
3303	0	100	167	3.303	0	5000	
3403	368	102	167	3.403	368	5100	
3504	368	105	167	3.504	368	5250	
3605	368	107	167	3.605	368	5350	
3706	368	109	167	3.706	368	5450	
3807	368	111	167	3.807	368	5550	
3908	368	113	167	3.908	368	5650	
4009	368	116	167	4.009	368	5800	
4111	2011	118	167	4.111	2011	5900	
4212	2011	120	167	4.212	2011	6000	
4313	2011	122	167	4.313	2011	6100	
4414	2011	125	167	4.414	2011	6250	
4515	3005	127	167	4.515	3005	6350	
4616	3005	129	167	4.616	3005	6450	
4717	3005	131	167	4.717	3005	6550	
4818	3873	133	167	4.818	3873	6650	
4919	3873	136	167	4.919	3873	6800	
5020	4688	138	167	5.02	4688	6900	
5121	4688	138	167	5.121	4688	6900	
5222	4688	138	167	5.222	4688	6900	
5323	5422	138	167	5.323	5422	6900	
5424	5422	138	167	5.424	5422	6900	
5525	5967	138	167	5.525	5967	6900	
5626	5967	138	167	5.626	5967	6900	
5727	6299	138	167	5.727	6299	6900	
5828	6299	138	167	5.828	6299	6900	
5929	6529	138	167	5.929	6529	6900	
6031	6564	138	167	6.031	6564	6900	
6132	6564	138	167	6.132	6564	6900	
6233	6599	138	167	6.233	6599	6900	
6334	6599	138	167	6.334	6599	6900	
6435	6529	138	167	6.435	6529	6900	
6536	6529	138	167	6.536	6529	6900	
6637	6599	138	167	6.637	6599	6900	
6738	6599	138	167	6.738	6599	6900	
6839	6529	138	167	6.839	6529	6900	
6940	6529	138	167	6.94	6529	6900	
7041	6564	138	167	7.041	6564	6900	
7142	6564	138	167	7.142	6564	6900	
7243	6529	138	167	7.243	6529	6900	
7344	6529	138	167	7.344	6529	6900	
7445	6529	138	167	7.445	6529	6900	
7546	6529	138	167	7.546	6529	6900	
7647	6495	138	167	7.647	6495	6900	
7748	6564	138	167	7.748	6564	6900	
7849	6564	138	167	7.849	6564	6900	
7951	6495	138	167	7.951	6495	6900	
8052	6495	138	167	8.052	6495	6900	
8153	6529	138	167	8.153	6529	6900	
8254	6529	138	167	8.254	6529	6900	
8355	6529	138	167	8.355	6529	6900	
8456	6529	138	167	8.456	6529	6900	
8557	6462	138	167	8.557	6462	6900	
8658	6462	138	167	8.658	6462	6900	
8759	6529	138	167	8.759	6529	6900	
8860	6529	138	167	8.86	6529	6900	
8961	6495	138	167	8.961	6495	6900	
9062	6495	138	167	9.062	6495	6900	
9163	6495	138	167	9.163	6495	6900	
9264	6495	138	167	9.264	6495	6900	
9365	6462	138	167	9.365	6462	6900	
9466	6462	138	167	9.466	6462	6900	
9567	6529	138	167	9.567	6529	6900	
9668	6462	138	167	9.668	6462	6900	
9769	6462	138	167	9.769	6462	6900	
9871	6462	138	167	9.871	6462	6900	
9972	6462	138	167	9.972	6462	6900	
10073	6495	50	167	10.073	6495	2500	
10174	6495	50	167	10.174	6495	2500	
10275	5996	50	167	10.275	5996	2500	
10376	5996	50	167	10.376	5996	2500	
10477	5643	50	167	10.477	5643	2500	
10578	4568	50	167	10.578	4568	2500	
10679	4568	50	167	10.679	4568	2500	
10780	4568	50	167	10.78	4568	2500	
10881	3543	50	167	10.881	3543	2500	
10982	2753	50	167	10.982	2753	2500	
11083	2687	50	167	11.083	2687	2500	
11184	2687	50	167	11.184	2687	2500	
11285	2687	50	167	11.285	2687	2500	
11386	2687	50	167	11.386	2687	2500	
11487	2524	50	167	11.487	2524	2500	
11588	2096	50	167	11.588	2096	2500	
11689	1791	50	167	11.689	1791	2500	
11791	1562	50	167	11.791	1562	2500	
11892	1387	50	167	11.892	1387	2500	
11993	1247	50	167	11.993	1247	2500	
12094	1132	50	167	12.094	1132	2500	
12195	1037	50	167	12.195	1037	2500	
12296	957	50	167	12.296	957	2500	
12396	888	50	167	12.396	888	2500	
12496	829	50	167	12.496	829	2500	
12596	778	50	167	12.596	778	2500	
12696	732	50	167	12.696	732	2500	
12796	691	50	167	12.796	691	2500	
12896	655	50	167	12.896	655	2500	
12996	622	50	167	12.996	622	2500	
13096	593	50	167	13.096	593	2500	
13196	566	50	167	13.196	566	2500	
13296	541	50	167	13.296	541	2500	
13396	519	50	167	13.396	519	2500	
13496	498	50	167	13.496	498	2500	
13596	479	50	167	13.596	479	2500	
13696	461	50	167	13.696	461	2500	
13796	444	50	167	13.796	444	2500	
13896	429	50	167	13.896	429	2500	
13996	415	50	167	13.996	415	2500	
14096	401	50	167	14.096	401	2500	
14196	389	50	167	14.196	389	2500	
14296	377	50	167	14.296	377	2500	
14396	366	50	167	14.396	366	2500	
14496	356	50	167	14.496	356	2500	
14596	346	50	167	14.596	346	2500	
14696	336	50	167	14.696	336	2500	
14796	327	50	167	14.796	327	2500	
14896	319	50	167	14.896	319	2500	
14996	311	50	167	14.996	311	2500	
15096	303	50	167	15.096	303	2500	
15196	296	50	167	15.196	296	2500	
15296	289	50	167	15.296	289	2500	
15396	283	50	167	15.396	283	2500	
15496	276	50	167	15.496	276	2500	
15596	270	50	167	15.596	270	2500	
15696	265	50	167	15.696	265	2500	
15796	259	50	167	15.796	259	2500	
15896	254	50	167	15.896	254	2500	
15996	249	50	167	15.996	249	2500	
16096	244	50	167	16.096	244	2500	
16196	239	50	167	16.196	239	2500	
16296	235	50	167	16.296	235	2500	
16396	230	50	167	16.396	230	2500	
16496	226	50	167	16.496	226	2500	
16596	222	50	167	16.596	222	2500	
16696	218	50	167	16.696	218	2500	
16796	214	50	167	16.796	214	2500	
16896	211	50	167	16.896	211	2500	
16996	207	50	167	16.996	207	2500	
17096	204	50	167	17.096	204	2500	
17196	201	50	167	17.196	201	2500	
17296	197	50	167	17.296	197	2500	
17396	194	50	167	17.396	194	2500	
17496	191	50	167	17.496	191	2500	
17596	188	50	167	17.596	188	2500	
17696	186	50	167	17.696	186	2500	
17796	183	50	167	17.796	183	2500	
17896	180	50	167	17.896	180	2500	
17996	178	50	167	17.996	178	2500	
18096	175	50	167	18.096	175	2500	
18196	173	50	167	18.196	173	2500	
18296	170	50	167	18.296	170	2500	
18396	168	50	167	18.396	168	2500	
18496	166	50	167	18.496	166	2500	
18596	164	50	167	18.596	164	2500	
18696	161	50	167	18.696	161	2500	
18796	159	50	167	18.796	159	2500	
18896	157	50	167	18.896	157	2500	
18996	155	50	167	18.996	155	2500	
19096	153	50	167	19.096	153	2500	
19196	152	50	167	19.196	152	2500	
19296	150	50	167	19.296	150	2500	
19396	148	50	167	19.396	148	2500	
19496	146	50	167	19.496	146	2500	
19596	144	50	167	19.596	144	2500	
19696	143	50	167	19.696	143	2500	
19796	141	50	167	19.796	141	2500	
19896	140	50	167	19.896	140	2500	
19996	0	50	167	19.996	0	2500	
20096	0	50	167	20.096	0	2500	
20196	0	50	167	20.196	0	2500	
20296	0	50	167	20.296	0	2500	
20396	0	50	167	20.396	0	2500	
20496	0	50	167	20.496	0	2500	
20596	0	50	167	20.596	0	2500	
20696	0	50	167	20.696	0	2500	
20796	0	50	167	20.796	0	2500	
20896	0	50	167	20.896	0	2500	
20996	0	50	167	20.996	0	2500	
21096	0	50	167	21.096	0	2500	
21196	0	50	167	21.196	0	2500	
21296	0	50	167	21.296	0	2500	
21396	0	50	167	21.396	0	2500	
21496	0	50	167	21.496	0	2500	
21596	0	50	167	21.596	0	2500	
21696	0	50	167	21.696	0	2500	
21796	0	50	167	21.796	0	2500	
21896	0	50	167	21.896	0	2500	
